Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Washington, DC","Las Vegas, NV",3,Blue,80,Female,1,2012,25,9,Personal Travel,0,300,60,Business,20,3/20/14,OU,Oursin Airlines Inc.,Nevada,Virginia,22,0,0,No,226,2065,no,-115.167218,36.134893,-77.18974,38.897394
"San Diego, CA","Boston, MA",2,Blue,17,Male,1,2006,41,7,Personal Travel,1,0,15,Eco,9,3/9/14,AS,FlyToSun Airlines Inc.,Massachusetts,California,19,0,0,No,325,2588,no,-71.140708,42.373132,-117.128799,32.928728
"San Francisco, CA","Phoenix, AZ",4,Gold,44,Female,1,2006,8,7,Business travel,0,348,20,Eco,7,3/7/14,US,Southeast Airlines Co.,Arizona,California,14,32,16,No,92,651,yes,-111.970041,33.494067,-122.383287,37.754645
"San Antonio, TX","Houston, TX",2,Blue,44,Male,1,2010,16,40,Business travel,2,30,15,Eco,10,2/10/14,WN,Cheapseats Airlines Inc.,Texas,Texas,16,13,12,No,41,192,yes,-95.393531,29.784308,-98.475376,29.514399
"Los Angeles, CA","Fresno, CA",3,Blue,27,Female,1,2008,2,31,Business travel,1,10,30,Eco,8,3/8/14,OO,Northwest Business Airlines Inc.,California,California,7,0,7,No,43,209,yes,-119.761114,36.787755,-118.104332,33.982668
"Las Vegas, NV","Washington, DC",2,Blue,22,Male,2,2003,25,6,Personal Travel,0,5,15,Eco Plus,4,2/4/14,OU,Oursin Airlines Inc.,Virginia,Nevada,8,1,2,No,293,2065,no,-77.18974,38.897394,-115.167218,36.134893
"Detroit, MI","Boston, MA",4,Blue,43,Female,1,2009,7,13,Mileage tickets,2,35,80,Eco,18,3/18/14,B6,OnlyJets Airlines Inc.,Massachusetts,Michigan,7,0,0,No,105,632,no,-71.140708,42.373132,-83.227554,42.490005
"Charlotte, NC","Philadelphia, PA",3,Blue,33,Male,1,2009,10,5,Business travel,2,0,30,Business,2,3/2/14,US,Southeast Airlines Co.,Pennsylvania,North Carolina,17,5,0,No,70,449,no,-75.298163,39.973331,-80.815826,35.249654
"Denver, CO","Spokane, WA",1,Blue,56,Male,1,2005,16,9,Mileage tickets,0,0,185,Eco,24,1/24/14,OU,Oursin Airlines Inc.,Washington,Colorado,5,0,12,No,125,836,yes,-117.352257,47.68043,-104.955096,39.710774
"San Francisco, CA","Santa Barbara, CA",4,Blue,37,Female,1,2005,2,8,Business travel,0,0,35,Business,9,2/9/14,OO,Northwest Business Airlines Inc.,California,California,5,0,9,No,81,262,yes,-119.724102,34.42747,-122.383287,37.754645
"Atlanta, GA","Chicago, IL",5,Platinum,34,Male,1,2005,9,10,Business travel,1,0,100,Business,19,1/19/14,FL,FlyHere Airways,Illinois,Georgia,17,0,0,No,79,591,no,-87.895427,41.827126,-84.331858,33.824102
"San Juan, PR","Orlando, FL",4,Silver,43,Female,1,2003,13,11,Business travel,3,16,45,Business,14,1/14/14,B6,OnlyJets Airlines Inc.,Florida,Puerto Rico,10,0,3,No,142,1189,no,-81.411184,28.584434,-66.116246,18.288174
